t,i1,q1,q2,i2,p
798,0,0,0,0,4096
799,0,0,0,0,0
800,0,17,0,0,0
801,0,0,0,0,0
802,0,0,0,0,0
803,0,0,0,0,0
804,0,0,0,0,4096
805,0,0,0,0,4096
806,0,0,0,0,4096
807,0,0,0,0,4096
808,0,0,0,0,0
809,0,307,0,0,0
810,0,611,0,0,0
811,0,0,0,0,0
812,0,0,0,0,0
813,0,0,0,0,4096
814,0,0,0,0,4096
815,0,0,0,0,4096
816,0,0,0,0,4096
817,0,0,0,0,4096
818,0,0,0,0,0
819,0,0,0,0,0
820,0,0,0,0,0
821,0,0,0,0,0
822,0,0,0,0,0
823,0,0,0,0,0
824,0,0,0,0,0
825,0,0,0,0,4096
826,0,0,0,0,4096
827,0,0,0,0,4096
828,0,0,0,0,4096
829,0,0,0,0,0
830,0,0,0,0,0
831,0,0,0,0,0
832,0,0,0,0,0
833,0,0,0,0,0
834,0,0,0,0,4096
835,0,0,0,0,4096
836,0,0,0,0,4096
837,0,0,0,0,4096
838,0,0,0,0,4096
839,0,0,0,0,0
840,0,0,0,0,0
841,0,0,0,0,0
842,0,0,0,0,0
843,0,0,0,0,0
844,0,0,0,0,4096
845,0,0,0,0,4096
846,0,0,0,0,4096
847,0,0,0,0,4096
848,0,0,0,0,4096
849,0,0,0,0,0
850,0,0,0,0,0
851,0,0,0,0,0
852,0,0,0,0,0
853,0,0,0,0,0
854,0,0,0,0,4096
855,0,0,0,0,4096
856,0,0,0,0,4096
857,0,0,0,0,4096
858,0,0,0,0,4096
859,0,0,0,0,0
860,0,0,0,0,0
861,0,0,0,0,0
862,0,0,0,0,0
863,0,0,0,0,0
864,0,0,0,0,0
865,0,0,0,0,4096
866,0,0,0,0,4096
867,0,0,0,0,4096
868,0,0,0,0,4096
869,0,0,0,0,4096
870,0,0,0,0,0
871,0,0,0,0,0
872,0,0,0,0,0
873,0,0,0,0,0
874,0,0,0,0,0
875,0,0,0,0,4096
876,0,0,0,0,4096
877,0,0,0,0,4096
878,0,0,0,0,4096
879,0,0,0,0,0
880,0,0,0,0,0
881,0,0,0,0,0
882,0,0,0,0,0
883,0,0,0,0,0
884,0,0,0,0,0
885,0,0,0,0,4096
886,0,0,0,0,4096
887,0,0,0,0,4096
888,0,0,0,0,4096
889,0,0,0,0,4096
890,0,0,0,0,0
891,0,0,0,0,0
892,0,0,0,0,0
893,0,0,0,0,0
894,0,0,0,0,0
895,0,0,0,0,4096
896,0,0,0,0,4096
897,0,0,0,0,4096
898,0,0,0,0,4096
899,0,0,0,0,4096
900,0,0,0,0,0
901,0,0,0,0,0
902,0,0,0,0,0
903,0,0,0,0,0
904,1345,0,0,0,0
905,2984,0,0,0,4096
906,3803,0,0,0,4096
907,4096,0,0,0,4096
908,760,0,0,0,4096
909,0,4096,0,0,4096
910,0,4096,0,0,0
911,0,4096,0,0,0
912,0,3471,0,0,0
913,0,2310,0,0,0
914,0,576,0,0,0
915,0,901,0,0,4096
916,0,0,0,0,4096
917,0,0,0,0,4096
918,0,0,0,0,4096
919,0,0,0,0,4096
920,0,0,0,0,0
921,0,17,0,0,0
922,0,0,0,0,0
923,0,0,1024,0,0
924,0,0,1024,0,0
925,0,0,0,0,4096
926,0,0,0,0,4096
927,0,0,0,0,4096
928,0,0,0,0,4096
929,0,0,0,0,4096
930,0,0,0,0,0
931,0,0,0,0,0
932,0,0,0,0,0
933,0,0,0,0,0
934,0,0,0,0,0
935,0,0,0,0,4096
936,0,0,0,0,4096
937,0,0,0,0,4096
938,0,0,0,0,4096
939,0,0,0,0,4096
940,0,0,0,0,0
941,0,0,0,0,0
942,0,0,0,0,0
943,0,0,0,0,0
944,0,0,0,0,0
945,0,0,0,0,4096
946,0,0,0,0,4096
947,0,0,0,0,4096
948,0,0,0,0,4096
949,0,0,0,0,0
950,0,0,0,0,0
951,0,0,0,0,0
952,0,0,0,0,0
953,0,0,4096,0,0
954,0,0,4096,0,4096
955,0,0,1365,0,4096
956,0,52,0,0,4096
957,0,0,0,0,4096
958,0,0,0,0,4096
959,0,0,0,0,0
960,0,0,0,0,0
961,0,0,0,0,0
962,0,0,0,0,0
963,0,0,0,0,0
964,0,0,0,0,4096
965,0,208,0,0,4096
966,0,65,0,0,4096
967,0,0,0,0,4096
968,0,0,0,0,4096
969,0,0,0,0,0
970,0,0,0,0,0
971,0,0,0,0,0
972,0,0,0,0,0
973,0,0,0,0,0
974,0,0,0,0,4096
975,0,0,0,0,4096
976,0,0,0,0,4096
977,0,0,0,0,4096
978,0,0,0,0,4096
979,0,0,0,0,0
980,0,0,0,0,0
981,0,0,0,0,0
982,0,0,0,0,0
983,0,0,0,0,4096
984,0,0,0,0,4096
985,0,0,0,0,4096
986,0,0,0,0,4096
987,0,0,0,0,4096
988,0,0,0,0,0
989,0,0,0,0,0
990,0,0,0,0,0
991,0,0,0,0,0
992,0,0,0,0,0
993,0,0,0,0,4096
994,0,0,0,0,4096
995,0,0,0,0,4096
996,0,0,0,0,4096
997,0,0,0,0,4096
998,0,0,0,0,0
999,0,0,0,0,0
1000,0,0,0,0,0
1001,0,0,0,0,0
1002,0,0,0,0,0
1003,0,0,0,0,4096
1004,0,0,0,0,4096
1005,0,0,0,0,4096
1006,0,0,0,0,4096
1007,0,0,0,0,4096
1008,0,0,0,0,0
1009,0,0,0,0,0
1010,0,0,0,0,0
1011,0,0,0,0,0
1012,0,0,0,0,0
1013,0,0,0,0,4096
1014,0,0,0,0,4096
1015,0,0,0,0,4096
1016,0,0,0,0,4096
1017,0,0,0,0,0
1018,0,0,0,0,0
1019,0,0,0,0,0
1020,0,0,0,0,0
1021,0,0,0,0,0
1022,0,0,0,0,4096
1023,0,0,0,0,4096
1024,0,0,0,0,4096
1025,0,0,0,0,4096
1026,0,0,0,0,4096
1027,0,0,0,0,0
1028,0,0,0,0,0
1029,0,0,0,0,0
1030,0,0,0,0,0
1031,0,0,0,0,0
1032,0,0,0,0,4096
